Timestamp,ForwardX,ForwardY,ForwardZ,EulerAngleX,EulerAngleY,EulerAngleZ
4.5852,0.643161,-0.283422,0.711348,16.464530,42.118100,4.918722
4.6007,0.653465,-0.281785,0.702553,16.366780,42.926820,5.109207
4.6138,0.663854,-0.282066,0.692631,16.383530,43.784660,5.239329
4.6269,0.673819,-0.283351,0.682408,16.460310,44.637180,5.346366
4.6421,0.683677,-0.284660,0.671978,16.538540,45.494450,5.434719
4.6541,0.693134,-0.285052,0.662050,16.561950,46.313980,5.554060
4.6686,0.702119,-0.284344,0.652823,16.519650,47.083660,5.659219
4.6839,0.710664,-0.283014,0.644096,16.440170,47.813020,5.773442
4.6972,0.719632,-0.281485,0.634741,16.348840,48.586520,5.869427
4.7099,0.727883,-0.280954,0.625501,16.317140,49.326120,5.914456
4.7228,0.736901,-0.280410,0.615099,16.284670,50.147900,5.855992
4.7384,0.745586,-0.280414,0.604541,16.284890,50.963940,5.863344
4.7531,0.755215,-0.276835,0.594149,16.071390,51.806860,5.679956
4.7669,0.761109,-0.279346,0.585388,16.221200,52.435200,5.789327
4.7793,0.768536,-0.278912,0.575814,16.195260,53.158160,5.586009
4.7946,0.775485,-0.279695,0.566033,16.241990,53.873990,5.375506
4.8081,0.783783,-0.280620,0.554019,16.297220,54.745300,5.340696
4.8200,0.791728,-0.280311,0.542764,16.278740,55.567670,5.361850
4.8327,0.793265,-0.280016,0.540668,16.261130,55.722740,5.480807
4.8491,0.801787,-0.281194,0.527321,16.331490,56.667790,5.576381
4.8634,0.824443,-0.282468,0.490413,16.407560,59.254050,5.617022
4.8760,0.825157,-0.285588,0.487397,16.594020,59.430860,5.577602
4.8910,0.832285,-0.286444,0.474606,16.645200,60.306290,5.594223
4.9054,0.839549,-0.290029,0.459391,16.859710,61.313080,5.629341
4.9188,0.846809,-0.292654,0.444149,17.016900,62.323090,5.715383
4.9345,0.853846,-0.292999,0.430231,17.037580,63.257640,5.904445
4.9478,0.861231,-0.292099,0.415885,16.983640,64.224270,6.176742
4.9595,0.867926,-0.292117,0.401713,16.984740,65.163310,6.282739
4.9735,0.874346,-0.292984,0.386884,17.036710,66.131360,6.316904
4.9871,0.879286,-0.294298,0.374493,17.115420,66.930560,6.343677
5.0020,0.884196,-0.294192,0.362833,17.109090,67.689010,6.444234
5.0147,0.889080,-0.293466,0.351304,17.065590,68.439410,6.627712
5.0300,0.893610,-0.292443,0.340497,17.004280,69.141430,6.813237
5.0446,0.899584,-0.286740,0.329437,16.662910,69.886720,6.771140
5.0573,0.901725,-0.287894,0.322506,16.731900,70.320170,6.842004
5.0717,0.905366,-0.288453,0.311622,16.765340,71.006790,6.860301
5.0847,0.909215,-0.286067,0.302481,16.622630,71.598550,6.709139
5.0990,0.913310,-0.284479,0.291440,16.527690,72.301950,6.610415
5.1127,0.916877,-0.283075,0.281434,16.443810,72.936200,6.453435
5.1265,0.920748,-0.280366,0.271326,16.282030,73.580830,6.328268
5.1408,0.924406,-0.275997,0.263247,16.021450,74.104410,6.215720
5.1545,0.927875,-0.271990,0.255087,15.782720,74.628240,6.187776
5.1704,0.931033,-0.268503,0.247150,15.575170,75.133250,6.161569
5.1837,0.935466,-0.262217,0.236952,15.201650,75.786020,5.905636
5.1977,0.936477,-0.263384,0.231605,15.270960,76.108650,5.836740
5.2116,0.939264,-0.262786,0.220742,15.235420,76.774600,5.680582
5.2248,0.942549,-0.258941,0.211073,15.007210,77.377510,5.474620
5.2376,0.945552,-0.256055,0.200915,14.836110,78.003980,5.411119
5.2520,0.948574,-0.252806,0.190517,14.643590,78.643500,5.317202
5.2667,0.951115,-0.249335,0.182243,14.438150,79.153050,5.225773
5.2806,0.953397,-0.244511,0.176772,14.152920,79.495910,5.071025
5.2932,0.955806,-0.237625,0.173117,13.746390,79.733790,4.984663
5.3069,0.957968,-0.231680,0.169179,13.395990,79.984710,4.958760
5.3210,0.960047,-0.225341,0.165929,13.022910,80.194220,4.987279
5.3351,0.961801,-0.220615,0.162076,12.745180,80.434790,4.972901
5.3494,0.963558,-0.216880,0.156583,12.525850,80.769840,4.940250
5.3652,0.965664,-0.210793,0.151851,12.168810,81.063390,4.799529
5.3772,0.965936,-0.211698,0.148835,12.221880,81.240520,4.979851
5.3901,0.966987,-0.209642,0.144868,12.101400,81.479690,4.966052
5.4042,0.967821,-0.208787,0.140468,12.051240,81.741870,5.018245
5.4180,0.968565,-0.208851,0.135142,12.055010,82.056920,4.978958
5.4321,0.969482,-0.207967,0.129822,12.003240,82.372990,4.989306
5.4455,0.969806,-0.210133,0.123774,12.130130,82.726780,4.929766
5.4619,0.970535,-0.209743,0.118616,12.107280,83.032070,4.926330
5.4742,0.971175,-0.209700,0.113336,12.104770,83.343690,4.896655
5.4879,0.971539,-0.210873,0.107909,12.173500,83.662150,4.842043
5.5029,0.972131,-0.210768,0.102662,12.167340,83.971600,4.825954
5.5178,0.972876,-0.209922,0.097183,12.117790,84.295500,4.865500
5.5318,0.973542,-0.209399,0.091480,12.087150,84.631900,4.920882
5.5448,0.974122,-0.209473,0.084899,12.091450,85.019000,5.067372
5.5566,0.974632,-0.209371,0.079096,12.085500,85.360320,5.108737
5.5704,0.975301,-0.208131,0.073962,12.012820,85.663250,5.080926
5.5862,0.975933,-0.206714,0.069452,11.929880,85.929450,5.066895
5.6011,0.976730,-0.204354,0.065101,11.791690,86.186780,5.122463
5.6136,0.977323,-0.203123,0.059847,11.719670,86.495820,5.094963
5.6278,0.977825,-0.202141,0.054746,11.662200,86.795500,5.046071
5.6412,0.977927,-0.202422,0.051804,11.678620,86.967680,4.978480
5.6570,0.977897,-0.203143,0.049502,11.720830,87.102110,4.983727
5.6689,0.978074,-0.202925,0.046821,11.708060,87.259320,5.003219
5.6839,0.977827,-0.204185,0.046517,11.781780,87.276400,5.095553
5.6975,0.977669,-0.205083,0.045869,11.834340,87.313860,5.082401
5.7092,0.977629,-0.205403,0.045278,11.853110,87.348270,5.003501
5.7234,0.977980,-0.203736,0.045237,11.755490,87.351660,4.908526
5.7373,0.978233,-0.202443,0.045584,11.679820,87.332060,4.871915
5.7518,0.978589,-0.200300,0.047357,11.554520,87.229410,4.852132
5.7676,0.978683,-0.198933,0.051037,11.474590,87.014810,4.829103
5.7816,0.978441,-0.198432,0.057254,11.445290,86.651150,4.881850
5.7947,0.978119,-0.197912,0.064140,11.414870,86.248190,4.902660
5.8065,0.977392,-0.198321,0.073303,11.438810,85.710940,4.913206
5.8216,0.976258,-0.200390,0.082240,11.559770,85.184750,4.887549
5.8347,0.974535,-0.204249,0.092543,11.785510,84.575420,4.818709
5.8498,0.972064,-0.209750,0.105341,12.107700,83.815070,4.649032
5.8635,0.968738,-0.216624,0.120915,12.510810,82.885320,4.462548
5.8777,0.965079,-0.223590,0.136492,12.920000,81.950010,4.404233
5.8912,0.959379,-0.233986,0.157614,13.531830,80.670340,4.374391
5.9039,0.952106,-0.246680,0.180674,14.281120,79.255170,4.361785
5.9191,0.943990,-0.259425,0.203914,15.035960,77.810670,4.213267
5.9338,0.935517,-0.270494,0.227247,15.693630,76.346720,3.952778
5.9472,0.926121,-0.281906,0.250659,16.373970,74.855480,3.732955
5.9593,0.916352,-0.293304,0.272528,17.055850,73.437260,3.503311
5.9751,0.902012,-0.309856,0.300605,18.050540,71.568800,3.116972
5.9872,0.888350,-0.323545,0.325811,18.877420,69.859030,2.755919
6.0021,0.872844,-0.335679,0.354207,19.613860,67.912270,2.359681
6.0173,0.858712,-0.343569,0.380229,20.094460,66.116710,1.997053
